author,title,count,Afghanistan,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Bhutan,Bosnia and Herzegovina,British Indian Ocean Territory,Brunei,Canada,Central African Republic,Chile,China,Colombia,Croatia,Cuba,Czechia,Denmark,Djibouti,Egypt,Eritrea,Estonia,Ethiopia,France,Georgia,Germany,Greece,Hungary,India,Iran,Iraq,Ireland,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Malaysia,Maldives,Mali,Mauritania,Moldova,Montenegro,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Syria,Tajikistan,Tanzania,Thailand,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Vatican,Vietnam,Yemen
JEWISH-CHRISTIAN ORIGIN,The Bible,52,1,1,,,,,,1,1,,1,,,1,,1,,1,1,,1,,,1,1,1,,1,,,,,,1,1,1,,,,1,1,1,1,1,1,,1,,1,,1,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,,,,1,,,1,,,,1,1,1,1,1,,1,1,1,,1,,,1,,1,1
ORWELL George,Animal Farm,17,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,1,,1,1,,,
ORWELL George,1984,16,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
TURGENEW Ivan Sergejewitsch,Rudin,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
TWAIN Mark [i.e. LANGHORNE Samuel Clemens],The adventures of Tom Sawyer,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
TWAIN Mark [i.e. LANGHORNE Samuel Clemens],Adventures of Huckleberry Finn,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
SZCZYPIORSKI Andrzej,Amerikanischer Whiskey,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
ZWETAJEWA Marina Iwanowna,Meilensteine,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
TURGENEW Ivan Sergejewitsch,Väter und Söhne,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
PASTERNAK Boris Leonidowitsch,"Zweite Geburt (Werkausgabe Band 2. Gedichte, Erzählungen, Briefe)",15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
PASTERNAK Boris Leonidowitsch,Doktor Schiwago,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
PILNJAK Boris,Golyj god [The naked year],15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
PUSHKIN Alexander Sergeyevich [Александр Серге́евич Пу́шкин],Das Puschkin-Jubiläum,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
PUSHKIN Alexander Sergeyevich [Александр Серге́евич Пу́шкин],An Amateur Peasant Girl,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
PUSHKIN Alexander Sergeyevich [Александр Серге́евич Пу́шкин],Dubrowski,15,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,1,,,
