author,count
VOLTAIRE [i.e. AROUET François-Marie],155
DEUTSCHE INFORMATIONSSTELLE,97
SIMENON Georges [i.e. VIOLIS Gaston],84
KOCK Charles Paul de,71
BALZAC Honoré de,62
PAZ Octavio,61
LENIN Vladimir [Владимир Ильич Ульянов],60
ALLEN Donna,60
ASIMOV Isaac [i.e. FRENCH Paul],59
CHEKHOV Anton [Антон Павлович Чехов],58
BUSCH Fritz Otto,58
HUGO Victor,56
ANDREWS Kathy,56
SENDER Ramón Julio,55
McNALLY Rand,55
PEREZ GALDOS Benito,52
JEWISH-CHRISTIAN ORIGIN,52
LANZ-LIEBENFELS Jörg,51
KING Stephen,49
DOSTOEVSKY Fyodor Mikhailovich [Фёдор Михайлович Достоевский],49
PUSHKIN Alexander Sergeyevich [Александр Серге́евич Пу́шкин],48
CORTAZAR Julio,48
EASTWOOD Nick,46
ROUSSEAU Jean-Jacques,45
GUMILYOV Nikolay,45
SIMONDE DE SISMONDI Jean-Charles-Léonard,44
DUMAS Alexandre,44
ORWELL George,42
SCOTT Walter,41
NSDAP Reichsjugendführung,41
SUE Eugène,40
MARX Karl,40
MARTIN VIGIL José Luis,40
KRUG Wilhelm Traugott,40
READER'S DIGEST,39
CELA Camilo José,38
YUNQUE Alvaro,37
SLAUGHTER Frank G.,37
TWAIN Mark [i.e. LANGHORNE Samuel Clemens],36
LETI Gregorio,36
HEINE Heinrich,36
BYRON George Gordon Lord,36
VOß Julius von,35
UMBRAL Francisco,35
SCHADEN Adolph von,35
BRECHT Bertolt,35
TSE-TUNG Mao,34
EGGERS Kurt,34
ENGELS Friedrich,34
TODD Ray,33
ROBBINS Harold,33
PLAIDY Jean [i.e. HOLT Victoria],33
LUTHER Martin,33
VAZQUEZ-FIGUEROA Alberto,32
ZSCHOKKE Heinrich,32
STEEL Danielle,32
TORRENTE BALLESTER Gonzalo,31
VAZQUEZ MONTALBAN Manuel,31
PASTERNAK Boris Leonidowitsch,31
PIGAULT-LEBRUN [i. e. PIGAULT DE L'ESPINOY Charles-Antoine-Guillaume],31
HARRIS Kathy,31
BLASCO IBAÑEZ Vicente,31
TURGENEW Ivan Sergejewitsch,30
TOLSTOY Lev Nikolayevich [Лев Николаевич Толстой],30
STORCH Ludwig,30
RANK Claude,30
RESTIF DE LA BRETONNE Nicolas Edmonde,30
MURILLO Jose,30
HEMINGWAY Ernest,30
LAMOTHE-LANGON Étienne-Léon de,30
DUFOUR DE PRADT Dominique [i.e. DE PRADT Dominique Georges Frédéric de Riom de Prolhiac de Fourt],30
CRANE David,30
BESIKCI Ismail,30
BEUMELBURG Werner,30
SOULIÉ Frédéric,29
SMITH Wilbur,29
STADTLER Eduard,29
SINCLAIR Upton,29
PALLAVICINO Ferrante,29
PIRANDELLO Luigi,29
GROTE Hans Henning,29
FAULKNER William,29
GOETHE Johann Wolfgang von,29
DURAS Marguerite,29
CAROVÉ Friedrich Wilhelm,29
BAROJA Pío,29
ARTUS Louis,29
BAUMANN Hans,29
BARTELS Adolf,29
VILHENA José,28
RANDOLPH Bill,28
LAWRENCE David Herbert,28
HIGHSMITH Patricia,28
HILDEBRANDT Christoph,28
GOINES Donald,28
AMADO Jorge,28
BRONIKOWSKI Alexander,28
ARNDT Ernst Moritz,28
ZOLA Émile,27
VARGAS LLOSA Mario,27
SINTENIS Christian Friedrich,27
SAND George,27
SHELDON Sidney,27
NABOKOV Vladimir [Владимир Владимирович Набоков ],27
LANNOY Jean de,27
MAUPASSANT Guy de,27
LEIBROCK August,27
MAILER Norman,27
GREENE Graham,27
EDITORS Of Penthouse Mag,27
BELANI H. E. R. [i. e. HÄBERLIN Karl Ludwig],27
ARRABAL Fernando,27
WATSON J. T.,26
TROYAT Henri [i.e. TARASSOV Lev],26
PREVOST Marcel,26
MILLER Henry,26
JOHNSTONE William W.,26
GRISHAM John,26
FISCHER Anton Friedrich,26
DIDEROT Denis,26
DENCKLER Heinz,26
ANDREWS Virginia C.,26
WEST Morris,25
VALLE INCLAN Ramón del,25
VENTURINI Karl,25
SARTRE Jean-Paul,25
SCRIBE Eugène,25
PÖLITZ Karl Heinrich Ludwig,25
JEAN PAUL [i. e. RICHTER Johann Paul Friedrich],25
CONSTANT Benjamin,25
ETTIGHOFFER Paul Coelestin,25
CALDWELL Taylor,25
BENARY Albert,25
BORGES Jorge Luis,25
VOß Christian Daniel,24
PASTENACI Kurt,24
RENAN Ernest,24
ROMAINS Jules [i.e. FARIGOULE Louis],24
NERUDA Pablo,24
MEDINA Enrique,24
HERLOßSOHN Karl,24
HIGGINS Jack [i.e. PATTERSON Harry],24
FICHTE Johann Gottlieb,24
FRIEDRICH DER GROSSE König von Preußen,24
COCHENHAUSEN Friedrich von,24
DIAZ PLAJA Fernando,24
AMMON Christoph Friedrich von,24
WALLACE Irving,23
SCHILLER Friedrich,23
SAGAN Françoise [i.e. QUOIREZ Françoise],23
PATTERSON James,23
RICE Anne,23
FUENTES Carlos,23
EÇA de QUEIROS José María,23
DUCANGE Victor Henri Joseph Brahain,23
BERGMANN Ernst,23
ARCHER Jeffrey,23
ARGENS Jean-Baptiste de Boyer d',23
BRETSCHNEIDER Karl Gottlieb,23
AYALA Francisco,23
YOURCENAR Marguerite [i.e. CRAGENCOUR Mme DE],22
TROTSKY Leon [Лев Троцкий],22
TAYLOR Ron,22
UNAMUNO Miguel de,22
VULPIUS Christian August,22
VIERA Josef,22
SCHOPPE Amalie,22
SPRINGENSCHMID Karl,22
SALAT Jakob,22
ORTEGA Y GASSET José,22
PAGE Alain,22
MAUROIS André [i.e. HERZOG Emile],22
LESSING Gotthold Ephraim,22
GALA Antonio,22
HARRING Harro,22
FRITSCH Theodor,22
GUTZKOW Karl,22
GOYTISOLO Juan,22
GIRONELLA José María,22
ECKARTSHAUSEN Karl von,22
DINTER Artur,22
BUCK Pearl S.,22
BAUR Samuel,22
TURMEL Joseph,21
TOUCHARD-LAFOSSE Georges,21
ZERKAULEN Heinrich,21
SPIESS Christian Heinrich,21
ROYO Luis,21
SCOTT Don,21
RAHNER Karl,21
MAURIAC François,21
MASTERS Frank,21
MAHRAUN Artur,21
MARTIN Andreu,21
KANT Immanuel,21
HESSE Hermann,21
GREEN Julien,21
GRIMM Friedrich,21
GABLE Paul,21
GARCIA MARQUEZ Gabriel,21
GARCIA PAVON Francisco,21
BURGESS Anthony [i.e. WILSON John Burgess],21
BARKER Clive,21
BAUM Vicki,21
BENITEZ Juan José,21
VEBER Pierre,20
WOLF Heinrich,20
WIELAND Christoph Martin,20
STEINBECK John,20
SEUME Johann Gottfried,20
SCHACHT Hjalmar,20
SANDER Ulrich,20
ROTH Philip,20
SCHUMANN Gerhard,20
RENDELL Ruth,20
ROJAS Carlos,20
MÜNCH Ernst Hermann Joseph,20
