author,title,country,count
REVELLI George,Commander Amanda Nightingale,Australia,1
EYLES Leonora,Commonsense about Sex,Australia,3
BOURJAILY Vancy Nye,Confessions of a Spent Youth,Australia,5
GIANNI Segre,Confirmation,Australia,7
PREVOST Marcel,Cousine Laura,Australia,4
BEY Riza,Darkest Orient,Australia,2
WELZL Joachim,Das Weib Sklavin,Australia,5
BURROUGHS William S.,Dead Fingers Talk,Australia,6
PAULY Joachim,Der Sexuelle Fetischismus,Australia,7
COOPER Courtney Ryley,Designs in Scarlet,Australia,1
FREDERICKS Diana,Diana,Australia,3
THORP Roderick,Dionysus,Australia,5
FINEMAN Irving,Doctor Addams,Australia,7
RAVEL Robert,Doctor Bob,Australia,4
KANTOR MacKinlay,Don't Touch Me,Australia,2
ORWELL George,Down and Out in Paris and London,Australia,5
FULBERT Florence,Dresseuses d'hommes,Australia,6
DE BALZAC Honore,Droll Stories,Australia,7
JOYCE James,Dubliners,Australia,1
MATHERS E. Powys,Eastern Love,Australia,3
LAMARR Hedy,Ecstasy and Me: My Life as a Woman,Australia,5
YOUNG Wayland Hilton,Eros Denied,Australia,7
MARCADE Jean,Eros Kalos: Essays on Erotic Elements in Greek Art,Australia,4
RAWSON Philip,Erotic Art of the East,Australia,2
KRONHAUSEN Phyllis; KRONHAUSEN Eberhard,Erotic Art: A Survey of Erotic Fact and Fancy in the Fine Arts,Australia,5
ENGLISCH Paul,Erotikens historia i Europa,Australia,6
WILLINGHAM Calder,Eternal Fire,Australia,7
BLOCH Iwan,"Ethnological and Cultural Studies of the Sex Life in England, Illustrated, as Revealed in its Erotic and Obscene Literature and Art; with Nine Private Cabinets of Illustrations by the Greatest English Masters of Erotic Art",Australia,1
FLORA,Etreintes Perverses (Maisons Closes Pour Dames),Australia,3
WOOD Frank Leighton,Facts of Life: Personal Hygiene For All,Australia,5
FIELDING William J.,Facts You Should Know about the Art of Love,Australia,7
DE LEEUW Hendrik,Fallen Angels,Australia,4
SEYMOUR-SMITH Martin,"Fallen Women: A Sceptical Enquiry into the Treatment of Prostitutes, Their Clients and Their Pimps, in Literature",Australia,2
CLELAND John,"Fanny Hill, or, Memoirs of a Woman of Pleasure",Australia,5
HEMINGWAY Ernest,Farewell to Arms,Australia,6
CHINIQUY Charles,Fifty Years in the Church of Rome,Australia,7
,For Men and Men Only,Australia,1
MARKEY J. J.,For Women Only,Australia,3
KAPITAN Ronald,Forbidden Paths,Australia,5
WINSOR Kathleen,Forever Amber,Australia,7
CATLING Patrick Skene,Freddy Hill: The Life and Loves of a Modern Man of Pleasure,Australia,4
REYNOLDS Frank; MCCLURE Michael,"Freewheelin' Frank, Secretary to the Angels, as told to Michael McClure",Australia,2
,From the First to the Second Five Year Plan : A Symposium,Australia,5
GENET Jean,Funeral Rites,Australia,6
CASANOVA Giacomo,Funf Episoden,Australia,7
GIFFORD James Noble,Furnished Room,Australia,1
HEMARD Joseph,Galerie Des Belles Amours,Australia,3
DE MXXX Alcide (Baron),"Gamiani, or Two Passionate Nights",Australia,5
,Gay Book,Australia,7
,Gens Qui Rient Au Grand Air,Australia,4
FUCHS Eduard,Geschichte Der Erotischen Kunst,Australia,2
LYONS Ruth,Give Us This Night,Australia,5
WILLIAMS Brendan,Go Marry,Australia,6
CALDWELL Erskine,God's Little Acre,Australia,7
EILIN Eve,Good-bye Hell,Australia,1
PRATT Theodore,Handsome,Australia,3
TROCCHI Alexander,Helen and Desire,Australia,5
COOPER Courtney Ryley,Here's to Crime,Australia,7
HOLDEN Larry,Hide-Out,Australia,4
ALLEN Clifford Edward,Homosexuality,Australia,2
,Hooey,Australia,5
HEYM Stefan,Hostages,Australia,6
LYONS Ruth,Hotel Wife,Australia,7
FISHER Vardis,I See No Sin,Australia,1
VIAN Boris,I Shall Spit on Your Graves,Australia,3
KOHLER Pauline,I Was Hitler's Maid,Australia,5
SPILLANE Mickey,"I, the Jury",Australia,7
HIMES Chester B.,If He Hollers Let Him Go,Australia,4
KELLINO Pamela,"Ignoramus, Ignoramus",Australia,2
FUCHS Eduard,Illustrierte Sittengeschichte vom Mittelater bis zur Gegenwart,Australia,5
LINAKIS Steven,In the Spring the War Ended,Australia,6
ASHBEE Henry Spencer,Index of Forbidden Books,Australia,7
MACK Mary,Initiation Inn,Australia,1
MEUSAL Walter J.,"Invitation to the Dance : A Miscellany of Stories, Experiences, Letters, Articles, on Corporal Punishment",Australia,3
MENEGAS Peter,Jacklove,Australia,5
LI Yu,Jou Pu Tuan: The Prayer Mat of Flesh,Australia,7
CALDWELL Erskine,Journeyman,Australia,4
DE SADE Marquis,"Justine, or The Misfortunes of Virtue",Australia,2
BRUSENDORFF Ove; HENNINGSEN Poul,Kaerlighedens billedbog: af glaedens og forargelsens historie,Australia,5
ORWELL George,Keep the Aspidistra Flying,Australia,6
BELLAMANN Henry,King's Row,Australia,7
BUTLER Gerald Butler,Kiss the Blood Off My Hands,Australia,1
HAEMMERLING Konrad,Kultur und Sittengeschichte der Neuesten Zeit,Australia,3
HERAUSSE Francois-Charles,L' Art des Caresses,Australia,5
Verdier,L'Art d'Aimer,Australia,7
DE LA BEUQUE Jean,L'Ille De La Misere,Australia,4
DEVEREUX (Charles),L'Oeuvre des Conteurs Anglais,Australia,2
CHAMPSAUR Felicien,L'Orgie Latine,Australia,5
ROYER Louis-Charles,La Femme Cousue,Australia,6
,La Livre Rose: Des Plaisirs Secrets,Australia,7
ROYER Louis-Charles,La Nymphe du Gevaudan,Australia,1
,La Porte de L'ane,Australia,3
MARCELIN (Ed.),La Vie Parisienne,Australia,5
LAWRENCE David Herbert,Lady Chatterleys Lover,Australia,7
GLINTO Darcy,Lady Don't Turn Over,Australia,4
CHASE James Hadley,Lady Here's Your Wreath,Australia,2
SELBY Hubert,Last Exit to Brooklyn,Australia,5
GUILLOT Albert (Ed.),Le Cabinet Satyrique,Australia,6
AL-NEFZAOUI Muhammad Ibn Umar,Le Jardin Parfume,Australia,7
CHAMPSAUR Felicien,Le Semeur D' Amour,Australia,1
